date,modality,quality,file_count,total_size
2024-02-03,audio,h,2525,105829818
2024-02-03,audio,l,2287,95922520
2024-02-04,audio,h,2177,91269466
2024-02-04,audio,l,1684,70595709
2024-02-04,image,l,1751,3350673048
2024-02-04,image,h,2193,2235755563
2024-02-05,image,l,1929,3617049910
2024-02-05,image,h,2606,2538843121
2024-02-05,audio,h,2604,109187614
2024-02-05,audio,l,1898,79473370
2024-02-06,image,l,2609,5085561848
2024-02-06,image,h,2909,2844912581
2024-02-06,audio,h,2905,121355373
2024-02-06,audio,l,2566,107287941
2024-02-07,image,h,2976,2958773174
2024-02-07,image,l,2687,5262337310
2024-02-07,audio,l,2658,111129611
2024-02-07,audio,h,2974,124236235
2024-02-08,audio,h,2286,95257371
2024-02-08,image,h,2292,2243092323
2024-02-08,image,l,2064,4019883182
2024-02-08,audio,l,2025,84363810
2024-02-09,image,h,3089,2894032608
2024-02-09,image,l,2819,5294171121
2024-02-09,audio,h,3083,128596379
2024-02-09,audio,l,2741,114402471
2024-02-10,image,h,2710,2557550738
2024-02-10,image,l,2474,4693682109
2024-02-10,audio,h,2703,112828657
2024-02-10,audio,l,2424,101235610
2024-02-11,image,h,2049,1954565441
2024-02-11,image,l,1849,3506613395
2024-02-11,audio,h,2044,85715265
2024-02-11,audio,l,1810,75903813
2024-02-12,image,l,2680,5100706093
2024-02-12,image,h,2976,2741681889
2024-02-12,audio,h,2971,123933943
2024-02-12,audio,l,2630,109810622
2024-02-13,audio,h,801,33937140
2024-02-13,image,h,802,456290204
2024-02-14,image,h,2908,2305824377
2024-02-14,image,l,943,1425158884
2024-02-14,audio,l,921,38504956
2024-02-14,audio,h,2906,121848668
2024-02-15,audio,h,1597,66361021
2024-02-15,image,l,1413,2217001822
2024-02-15,audio,l,1389,57748915
2024-02-15,image,h,1601,1127911840
2024-02-16,image,h,2938,2312912114
2024-02-16,audio,l,2585,108003599
2024-02-16,audio,h,2935,122513623
2024-02-16,image,l,2641,3955421614
2024-02-17,image,h,2261,1501347973
2024-02-17,audio,l,1531,64047299
2024-02-17,audio,h,2261,94736581
2024-02-17,image,l,1565,2047699152
2024-02-18,image,h,2097,1706012811
2024-02-18,audio,h,2093,87722844
2024-02-18,audio,l,1884,79028282
2024-02-18,image,l,1928,2851188241
2024-02-19,image,h,2601,2253949236
2024-02-19,image,l,2378,3841594055
2024-02-19,audio,h,2597,108421664
2024-02-19,audio,l,2351,98265418
2024-02-20,image,h,2420,2151970057
2024-02-20,audio,h,2412,100469044
2024-02-20,audio,l,2158,89949822
2024-02-20,image,l,2201,3739717184
2024-02-21,image,h,3045,2599054432
2024-02-21,audio,l,2742,114259499
2024-02-21,image,l,2790,4779346350
2024-02-21,audio,h,3041,126647243
2024-02-22,audio,l,2605,108418049
2024-02-22,image,l,2660,4541206446
2024-02-22,audio,h,2862,118957875
2024-02-22,image,h,2891,2218159498
2024-02-23,audio,h,2978,124048832
2024-02-23,audio,l,2609,108698388
2024-02-23,image,l,2651,4481000118
2024-02-23,image,h,2979,2513538791
2024-02-24,image,h,1053,1104427986
2024-02-24,image,l,978,1900421761
2024-02-24,audio,l,955,39960786
2024-02-24,audio,h,1043,43625970
2024-04-01,image,l,1,1195181
2024-04-03,audio,l,793,33408522
2024-04-03,image,h,1141,748019748
2024-04-03,image,l,806,808259192
2024-04-04,audio,h,1059,44110812
2024-04-04,image,l,938,1507621519
2024-04-04,audio,l,904,37740107
2024-04-04,image,h,1590,1385812099
2024-04-05,image,l,2331,4302555867
2024-04-05,image,h,2467,2336152837
2024-04-05,audio,h,2461,101764099
2024-04-05,audio,l,2289,94558406
2024-04-06,audio,l,2732,113464977
2024-04-06,image,h,2896,2816848047
2024-04-06,image,l,2795,5157884738
2024-04-06,audio,h,2891,120009013
2024-04-07,image,h,2377,2495375103
2024-04-07,image,l,2265,4315801408
2024-04-07,audio,l,2211,92230810
2024-04-07,audio,h,2365,98539589
2024-04-08,image,l,3018,5976371603
2024-04-08,audio,l,2901,121929806
2024-04-08,image,h,3167,3394897431
2024-04-08,audio,h,3087,129674291
2024-04-09,audio,h,3619,153338668
2024-04-09,audio,l,3317,140565684
2024-04-09,image,l,3379,6729677536
2024-04-09,image,h,3627,4070801890
2024-04-10,image,h,3429,3481611412
2024-04-10,image,l,3301,5871151595
2024-04-10,audio,l,3248,136840167
2024-04-10,audio,h,3425,144216367
2024-04-11,image,h,3152,2241264333
2024-04-11,image,l,2741,2795678674
2024-04-11,audio,l,2685,112247161
2024-04-11,audio,h,3147,131471626
2024-04-12,image,h,3228,2163775525
2024-04-12,audio,h,3223,134859322
2024-04-12,image,l,3044,3171058343
2024-04-12,audio,l,2985,124917643
2024-04-13,audio,h,2912,121841970
2024-04-13,audio,l,2829,118428266
2024-04-13,image,h,2916,2806345427
2024-04-13,image,l,2895,4351049738
2024-04-14,image,l,2453,3725554020
2024-04-14,image,h,2542,2494473923
2024-04-14,audio,l,2386,99867847
2024-04-14,audio,h,2537,106295830
2024-04-15,audio,h,3309,139604180
2024-04-15,image,h,3321,3838799641
2024-04-15,image,l,3103,5059466770
2024-04-15,audio,l,3017,127305904
2024-04-16,audio,l,2188,92612058
2024-04-16,image,l,2255,3624731572
2024-04-16,audio,h,3383,143389895
2024-04-16,image,h,3391,3901744749
2024-04-17,audio,h,3320,139459935
2024-04-17,audio,l,3023,127066019
2024-04-17,image,h,3326,3328542684
2024-04-17,image,l,3089,5006928500
2024-04-18,image,h,2689,2349070900
2024-04-18,image,l,2416,3030673006
2024-04-18,audio,h,2688,112463405
2024-04-18,audio,l,2378,99634987
2024-04-21,audio,l,157,6632071
2024-04-21,image,l,172,293318320
2024-04-21,image,h,175,168917181
2024-04-21,audio,h,175,7395407
2024-04-22,image,l,3038,5394011909
2024-04-22,image,h,3314,3681632737
2024-04-22,audio,h,3307,138254403
2024-04-22,audio,l,2987,124999094
2024-04-23,image,h,3570,3970325415
2024-04-23,audio,l,3179,132457634
2024-04-23,image,l,3270,5642766211
2024-04-23,audio,h,3546,147726575
2024-04-24,image,l,2089,3478952888
2024-04-24,image,h,2988,3129420454
2024-04-24,audio,l,2033,84982854
2024-04-24,audio,h,2983,124866639
2024-04-25,image,l,3366,6010647517
2024-04-25,image,h,3706,4146948702
2024-04-25,audio,h,3688,153464843
2024-04-25,audio,l,3274,136358976
2024-04-26,audio,h,3865,160794204
2024-04-26,image,h,3876,4342136643
2024-04-26,image,l,3614,6314385865
2024-04-26,audio,l,3519,146536007
2024-04-27,image,h,3867,4014932972
2024-04-27,image,l,3628,6010763235
2024-04-27,audio,l,3543,147585615
2024-04-27,audio,h,3838,159724383
2024-04-28,audio,h,1464,61012475
2024-04-28,audio,l,1329,55425743
2024-04-28,image,h,3178,3325451761
2024-04-28,image,l,2989,5297010538
2024-04-29,audio,h,1882,80058753
2024-04-29,image,l,1427,2400344900
2024-04-29,image,h,3505,3748494631
2024-04-30,audio,l,2042,86606763
2024-04-30,audio,h,3498,148511649
2024-04-30,image,l,2101,3339131430
2024-04-30,image,h,3502,3429997734
2024-05-01,audio,l,3220,136550504
2024-05-01,audio,h,3629,153815186
2024-05-01,image,l,3272,5705163651
2024-05-01,image,h,3632,3862092616
2024-05-02,image,h,3760,4020381530
2024-05-02,image,l,2048,3518851856
2024-05-02,audio,h,3752,159244714
2024-05-02,audio,l,2013,85423458
2024-05-03,image,h,4043,4076740331
2024-05-03,image,l,2837,4857810075
2024-05-03,audio,l,2777,117461671
2024-05-03,audio,h,4033,170855042
2024-05-04,image,h,3835,4167004073
2024-05-04,image,l,3359,5794712676
2024-05-04,audio,l,3291,139300307
2024-05-04,audio,h,3822,161688093
2024-05-05,audio,h,2448,103920465
2024-05-05,audio,l,2133,90579430
2024-05-05,image,l,2188,2762837786
2024-05-05,image,h,2452,1922955070
2024-05-06,audio,h,3340,141427429
2024-05-06,audio,l,3021,127945228
2024-05-06,image,h,3349,3438021128
2024-05-06,image,l,3071,5539879392
2024-05-07,audio,h,3918,165758725
2024-05-07,image,l,3428,6253319242
2024-05-07,image,h,3928,4472156144
2024-05-07,audio,l,3370,142574548
2024-05-08,audio,h,3587,152243960
2024-05-08,audio,l,1726,73168273
2024-05-08,image,l,1773,2869108601
2024-05-08,image,h,3595,3697613049
2024-05-09,audio,h,3586,152533338
2024-05-09,image,h,3598,3671313707
2024-05-10,audio,h,3811,162105018
2024-05-10,image,h,3823,3608526406
2024-05-11,audio,h,4014,170595358
2024-05-11,image,h,4030,4113576756
2024-05-12,image,l,2775,4786038756
2024-05-12,audio,l,2708,114734486
2024-05-12,image,h,3030,2998007969
2024-05-12,audio,h,3028,128177593
2024-05-13,image,l,2725,4699829718
2024-05-13,audio,l,2604,110082392
2024-05-13,image,h,3210,3279097850
2024-05-13,audio,h,3123,131954209
2024-05-14,audio,h,2649,111313301
2024-05-14,audio,l,1528,64006225
2024-05-14,image,h,3771,3835892399
2024-05-14,image,l,1997,3356388275
2024-05-15,audio,h,89,3769839
2024-05-15,image,h,89,79600303
2024-05-19,image,h,2127,2198915199
2024-05-19,audio,l,1028,43014575
2024-05-19,audio,h,2096,87608312
2024-05-19,image,l,1060,1708671125
2024-05-20,audio,l,594,24880617
2024-05-20,audio,h,3642,152359881
2024-05-20,image,h,3705,3785400478
2024-05-20,image,l,620,973009456
2024-05-21,image,l,223,337253220
2024-05-21,audio,h,3975,166763976
2024-05-21,audio,l,220,9186826
2024-05-21,image,h,4002,4070545122
2024-05-22,image,h,1127,1243181934
2024-05-22,audio,h,1125,47367885
2024-05-23,audio,l,698,348867
2024-05-23,image,h,3676,3673315978
2024-05-23,image,l,724,1151726007
2024-05-23,audio,h,3666,1832271
2024-05-24,image,h,4402,4548815733
2024-05-24,audio,h,4024,2007636
2024-05-24,image,l,26,38645962
2024-05-24,audio,l,25,12486
2024-05-25,image,h,4280,4365935216
2024-05-26,image,h,3826,3919087526
2024-05-27,image,h,2305,2066990547
2024-05-28,image,h,1765,1699867590
2024-05-31,image,l,40,61498151
2024-05-31,image,h,3317,3288521609
2024-05-31,audio,h,3312,140633147
2024-05-31,audio,l,38,1607956
2024-06-01,audio,l,1,43123
2024-06-01,audio,h,4307,182942728
2024-06-01,image,h,4329,4309665862
2024-06-01,image,l,1,1717454
2024-06-02,audio,h,3809,161792940
2024-06-02,image,h,3820,3889061583
2024-06-03,audio,h,3651,155132167
2024-06-03,image,h,3658,3705607769
2024-06-04,audio,h,3828,162588894
2024-06-04,image,h,3834,3908649873
2024-06-05,image,h,4046,3983671537
2024-06-05,audio,h,4039,171591849
2024-06-06,audio,h,3684,156573671
2024-06-06,image,h,3693,3552344293
2024-06-07,audio,h,4383,186120237
2024-06-07,image,h,4392,4241047939
2024-06-08,image,h,4494,4468237854
2024-06-08,audio,h,4481,190194192
2024-06-09,image,h,90,81704899
2024-06-09,audio,h,90,3833927
2024-06-17,audio,h,2750,115292867
2024-06-17,image,h,2761,2712373840
2024-06-18,image,h,3679,3740945205
2024-06-18,audio,h,3666,153794681
2024-06-19,audio,h,3869,162947843
2024-06-19,image,h,3962,3995378346
2024-06-20,image,h,3942,4031675337
2024-06-20,audio,h,3930,166924918
2024-06-21,image,h,4026,3951315995
2024-06-21,audio,h,4012,170314120
2024-06-21,image,l,3,4729501
2024-06-22,image,h,2736,2644405476
2024-06-22,audio,h,2713,115150109
2024-06-26,image,h,3756,3746561289
2024-06-26,image,l,775,1016003906
2024-06-26,audio,l,767,31963119
2024-06-26,audio,h,3736,156276882
2024-06-27,image,h,4218,4201452136
2024-06-27,audio,h,4165,174548507
2024-06-28,audio,l,2195,92653517
2024-06-28,audio,h,4159,175383460
2024-06-28,image,h,4246,4081863121
2024-06-28,image,l,2239,3745318436
2024-06-29,audio,l,706,29720163
2024-06-29,image,h,1340,1251102972
2024-06-29,image,l,1014,1509189714
2024-06-29,audio,h,967,40752328
2024-06-30,audio,h,659,27215052
2024-06-30,image,h,665,602587638
2024-07-10,audio,h,58,2377071
2024-07-10,image,h,58,58955934
2024-07-11,audio,h,3769,155930924
2024-07-11,image,h,3779,3686929431
2024-07-12,image,h,3940,3896921980
2024-07-12,audio,h,3934,162696149
2024-07-13,image,h,3309,3304474462
2024-07-13,audio,h,3303,136872175
2024-07-14,audio,h,3601,149320676
2024-07-14,image,h,3629,3670374152
2024-07-15,audio,h,3214,114704779
2024-07-15,image,h,3219,3079590075
2024-07-16,image,h,2338,2327237551
2024-07-16,audio,h,2332,96715939
2024-07-17,audio,h,2959,124756892
2024-07-17,image,h,3331,3230453224
2024-07-18,audio,h,4041,172526003
2024-07-18,image,h,4053,4047192855
2024-07-19,audio,h,4189,179045256
2024-07-19,image,h,4207,4225669278
2024-07-20,image,h,3887,3894247541
2024-07-20,audio,h,3858,164780461
2024-07-21,image,h,3852,3920609625
2024-07-21,audio,h,3838,164046703
2024-07-22,image,h,3412,3421722064
2024-07-22,audio,h,3407,145445961
2024-07-23,image,h,3423,3380600057
2024-07-23,audio,h,3418,146090166
2024-07-24,audio,h,3480,148759790
2024-07-24,image,h,3483,3310156610
2024-07-24,audio,l,2111,90217509
2024-07-24,image,l,2148,2319333657
2024-07-25,image,h,3778,3793871038
2024-07-25,image,l,2197,2510002420
2024-07-25,audio,h,3767,160860538
2024-07-25,audio,l,2164,92343263
2024-07-26,image,l,2346,2654848606
2024-07-26,audio,l,2307,98527368
2024-07-26,audio,h,4205,179530510
2024-07-26,image,h,4211,4229102707
2024-07-27,image,h,3917,4002612240
2024-07-27,image,l,1886,2147508686
2024-07-27,audio,l,1843,78699914
2024-07-27,audio,h,3908,166910118
2024-07-28,image,h,3809,3819312977
2024-07-28,image,l,1290,1426746842
2024-07-28,audio,l,1265,54057631
2024-07-28,audio,h,3800,162138090
2024-07-29,audio,l,1956,83617087
2024-07-29,image,l,1989,2191039556
2024-07-29,image,h,3119,3094214288
2024-07-29,audio,h,3115,133184069
2024-07-30,image,l,3091,3262711257
2024-07-30,image,h,3607,3527866825
2024-07-30,audio,l,3041,129770678
2024-07-30,audio,h,3602,153936756
2024-07-31,image,l,2567,2760487931
2024-07-31,image,h,3415,3238356646
2024-07-31,audio,h,3408,145643809
2024-07-31,audio,l,2523,107652026
2024-08-01,audio,h,3799,162181606
2024-08-01,image,h,3805,4124605803
2024-08-01,image,l,3182,3473384207
2024-08-01,audio,l,3094,132069982
2024-08-02,audio,h,3830,163459351
2024-08-02,image,h,3839,4022127821
2024-08-02,image,l,3235,3478058282
2024-08-02,audio,l,3181,135860491
2024-08-03,audio,l,2894,123600238
2024-08-03,audio,h,3705,158393472
2024-08-03,image,h,3716,3839183901
2024-08-03,image,l,2948,3236715931
2024-08-04,image,l,2503,2730064687
2024-08-04,image,h,3002,2994240669
2024-08-04,audio,h,2998,127994078
2024-08-04,audio,l,2460,105004258
2024-08-05,image,h,3374,3595787129
2024-08-05,image,l,2892,3120169460
2024-08-05,audio,l,2839,121210579
2024-08-05,audio,h,3371,144159994
2024-08-06,image,h,3281,3360374974
2024-08-06,image,l,2654,2860503618
2024-08-06,audio,h,3279,139973983
2024-08-06,audio,l,2601,111143052
2024-08-07,image,l,2544,2576489371
2024-08-07,image,h,3207,3256290025
2024-08-07,audio,h,3200,136575263
2024-08-07,audio,l,2499,106682828
2024-08-08,image,l,2556,2503528735
2024-08-08,image,h,3342,3330141685
2024-08-08,audio,h,3335,142476034
2024-08-08,audio,l,2511,107288433
2024-08-09,image,h,3230,3079107983
2024-08-09,audio,l,2449,104654340
2024-08-09,image,l,2499,2412365914
2024-08-09,audio,h,3227,137769656
2024-08-10,audio,l,618,26421841
2024-08-10,image,l,625,785539347
2024-08-10,image,h,3777,4084343982
2024-08-10,audio,h,3767,161014701
2024-08-11,image,h,3740,4020234218
2024-08-11,audio,h,3727,159166328
2024-08-12,image,h,3332,3423457292
2024-08-12,audio,h,3328,142150631
2024-08-13,image,h,3680,3801152867
2024-08-13,audio,h,3673,157007107
2024-08-14,audio,h,3712,158788521
2024-08-14,image,h,3717,3924481376
2024-08-15,audio,h,3914,167192011
2024-08-15,image,h,3921,4190414980
2024-08-16,image,h,4145,4351353456
2024-08-16,audio,h,4137,176776778
2024-08-17,image,h,3336,3377316608
2024-08-17,audio,h,3324,141915764
2024-08-18,image,h,2201,1865215242
2024-08-18,audio,h,2193,93715782
2024-08-19,audio,h,3272,139763577
2024-08-19,image,h,3276,3382552423
2024-08-20,image,l,1,1496499
2024-08-20,audio,h,3690,157540560
2024-08-20,image,h,3694,3859747944
2024-08-21,audio,h,3810,162670386
2024-08-21,image,h,3818,4067842083
2024-08-22,audio,l,2769,118279084
2024-08-22,image,l,2835,3874595057
2024-08-22,image,h,3993,4258061702
2024-08-22,audio,h,3988,170255605
2024-08-23,image,l,3573,4749991019
2024-08-23,audio,l,3506,149637477
2024-08-23,audio,h,4277,182617848
2024-08-23,image,h,4290,4507867610
2024-08-24,image,h,3782,4063159584
2024-08-24,image,l,3186,4301277166
2024-08-24,audio,h,3760,160521405
2024-08-24,audio,l,3132,133823137
2024-08-25,audio,l,3019,129016803
2024-08-25,audio,h,3669,156629518
2024-08-25,image,h,3732,3951474176
2024-08-25,image,l,3149,4332876600
2024-08-26,audio,l,2788,119066708
2024-08-26,image,h,3284,3484819156
2024-08-26,image,l,2843,3722286700
2024-08-26,audio,h,3278,140027736
2024-08-27,image,h,3709,4060203495
2024-08-27,image,l,3134,4213163858
2024-08-27,audio,l,3085,131795506
2024-08-27,audio,h,3702,158133280
2024-08-28,audio,l,3078,131471533
2024-08-28,image,l,3115,4207631917
2024-08-28,image,h,3630,3913876319
2024-08-28,audio,h,3624,154961399
2024-08-29,audio,l,3173,135507182
2024-08-29,audio,h,3811,162662707
2024-08-29,image,h,3815,3903922073
2024-08-29,image,l,3234,4242822045
2024-08-30,image,l,3549,4580287656
2024-08-30,audio,l,3471,148381164
2024-08-30,image,h,4222,4441572131
2024-08-30,audio,h,4210,179794437
2024-08-31,image,h,3494,3530019078
2024-08-31,audio,l,2873,122775255
2024-08-31,audio,h,3488,149184844
