date,audio_relpath,dba_mean,dba_max,snd_lvl
2025-12-13 07:11:30.740,traffic_data/snd/2025-12-13_h/071130_740000_.mp3,80.36714285714288,91.61,86.35151618083005
2025-12-13 07:11:30.700,traffic_data/snd/2025-12-13_l/071130_700000_.mp3,80.36714285714288,91.61,86.35151618083005
2025-12-13 07:12:13.048,traffic_data/snd/2025-12-13_l/071213_048000_.mp3,72.17285714285713,84.72,89.6060207201087
2025-12-13 07:12:15.050,traffic_data/snd/2025-12-13_l/071215_050000_.mp3,80.38571428571429,89.99,142.02480391551384
2025-12-13 07:12:14.900,traffic_data/snd/2025-12-13_h/071214_900000_.mp3,79.63476190476192,89.99,136.3793810214921
2025-12-13 07:12:16.900,traffic_data/snd/2025-12-13_h/071216_900000_.mp3,80.58619047619047,89.99,140.57257055953556
2025-12-13 07:12:32.200,traffic_data/snd/2025-12-13_h/071232_200000_.mp3,73.44095238095237,82.09,16.916777832674573
2025-12-13 07:12:32.600,traffic_data/snd/2025-12-13_l/071232_600000_.mp3,72.79904761904761,82.09,16.240767045454547
2025-12-13 07:14:12.770,traffic_data/snd/2025-12-13_h/071412_770000_.mp3,71.75047619047619,81.66,12.120696177124506
2025-12-13 07:14:13.050,traffic_data/snd/2025-12-13_l/071413_050000_.mp3,71.60380952380952,81.66,12.065611104249012
2025-12-13 07:14:37.730,traffic_data/snd/2025-12-13_h/071437_730000_.mp3,73.02476190476192,83.56,14.542226613965745
2025-12-13 07:14:37.600,traffic_data/snd/2025-12-13_l/071437_600000_.mp3,73.02476190476192,83.56,14.542226613965745
2025-12-13 07:14:43.000,traffic_data/snd/2025-12-13_h/071443_000000_.mp3,72.64714285714285,82.34,14.177042160737813
2025-12-13 07:14:42.950,traffic_data/snd/2025-12-13_l/071442_950000_.mp3,72.85190476190476,82.34,13.794466403162055
2025-12-13 07:15:34.950,traffic_data/snd/2025-12-13_l/071534_950000_.mp3,72.11714285714285,86.91,14.170485424901186
2025-12-13 07:15:36.400,traffic_data/snd/2025-12-13_h/071536_400000_.mp3,74.64809523809525,86.91,16.87280550065876
2025-12-13 07:15:39.900,traffic_data/snd/2025-12-13_h/071539_900000_.mp3,74.50571428571428,80.81,13.787603446146244
2025-12-13 07:17:20.770,traffic_data/snd/2025-12-13_h/071720_770000_.mp3,73.69619047619047,83.83,16.743684123847167
2025-12-13 07:17:20.698,traffic_data/snd/2025-12-13_l/071720_698000_.mp3,73.9742857142857,83.83,16.772159090909092
2025-12-13 07:18:29.752,traffic_data/snd/2025-12-13_l/071829_752000_.mp3,80.41428571428571,94.16,52.07451982460474
2025-12-13 07:18:32.070,traffic_data/snd/2025-12-13_h/071832_070000_.mp3,83.58857142857144,94.16,59.33712121212121
2025-12-13 07:18:32.552,traffic_data/snd/2025-12-13_l/071832_552000_.mp3,83.2314285714286,94.16,55.17874181694664
2025-12-13 07:18:31.270,traffic_data/snd/2025-12-13_h/071831_270000_.mp3,83.23714285714286,94.16,59.761701251646905
2025-12-13 07:19:56.360,traffic_data/snd/2025-12-13_h/071956_360000_.mp3,74.44571428571427,87.18,20.196443459733203
2025-12-13 07:19:56.102,traffic_data/snd/2025-12-13_l/071956_102000_.mp3,74.60238095238094,87.18,21.045940382081685
2025-12-13 07:20:58.230,traffic_data/snd/2025-12-13_h/072058_230000_.mp3,74.60047619047619,82.82,25.44185194334651
2025-12-13 07:20:58.198,traffic_data/snd/2025-12-13_l/072058_198000_.mp3,74.60047619047619,82.82,25.44185194334651
2025-12-13 07:21:21.400,traffic_data/snd/2025-12-13_l/072121_400000_.mp3,70.23238095238096,84.9,16.962103199110672
2025-12-13 07:21:23.400,traffic_data/snd/2025-12-13_h/072123_400000_.mp3,72.2595238095238,84.9,18.227894176136363
2025-12-13 07:22:31.650,traffic_data/snd/2025-12-13_l/072231_650000_.mp3,69.42809523809522,83.35,12.993132411067194
