date,snd_lvl_mean,dba_mean,dba_p90,n_events
2023-11-08,,79.75744899880941,85.30232356134637,921
2023-11-09,,81.67989793114278,87.70434047815334,2426
2023-11-10,,81.19686538785125,87.8503780918728,2830
2023-11-13,,80.12214285714286,87.01,2
2023-12-14,,82.75074829931972,89.89142857142858,14
2023-12-15,,80.1992204768727,86.47558703438396,2792
2023-12-16,,78.82560244436758,85.95634786117836,4956
2023-12-17,,81.80428068715655,88.78788860575172,2747
2023-12-18,,83.89498409595184,89.47467579015967,3069
2023-12-19,,83.304137313954,89.99646654445463,2182
2023-12-20,,82.09827411167512,88.73685279187818,197
2023-12-21,,81.47240944240944,88.09008547008548,234
2024-01-12,,81.11298077112728,88.09594131614654,5896
2024-01-13,,82.54694664753858,88.9943713224793,3501
2024-01-14,,83.3893804486807,90.12029617575264,3687
2024-01-15,,82.44176273182957,90.12689621052631,4750
2024-01-16,,78.24045682772841,83.45364654756156,2071
2024-01-17,,80.37645456953723,86.57760508441685,5153
2024-01-18,,81.43035777892383,87.82785649819495,5540
2024-01-19,,79.63828354130005,85.58779031354983,3572
2024-01-20,,79.23483842150236,85.31219847743338,3678
2024-01-21,,79.40610257089848,85.38334879406308,1078
2024-01-22,,79.97644225482681,86.03472206519692,5307
2024-01-23,,81.83514968232389,88.15949504758206,5149
2024-01-24,,81.72728962476079,87.6895911991199,4545
2024-01-25,,82.70211822660097,89.7097560182173,3074
2024-01-26,,85.03602595404101,91.70445118654251,3329
2024-01-27,,83.07524996191259,90.6021410830619,9824
2024-01-29,,80.23961348737586,85.9792935029532,4402
2024-01-30,,80.82584882436196,86.44330853307765,5215
2024-01-31,,81.35319501011809,86.8188022234176,5577
2024-02-01,,81.20003502784265,86.70090030537094,5567
2024-02-02,,81.8753070923611,87.75853145606844,5611
2024-02-03,,79.1316604695819,86.08217074626866,5025
2024-02-04,,78.93245609077094,86.13442631058358,4044
2024-02-05,,80.27431409382417,87.95228419936373,4715
2024-02-06,,80.74980099559883,88.48121452145215,5757
2024-02-07,,80.63107511191333,88.35424091293322,5915
2024-02-08,,81.10747252747252,88.57688095765906,4511
2024-02-09,,80.67494267758032,87.77835124034829,6087
2024-02-10,,80.16769828567841,87.44114291093956,5311
2024-02-11,,80.19023493433683,88.12242284718766,4018
2024-02-12,,81.57980065298007,89.04603461274846,5836
2024-02-13,,70.31854925303456,75.02650735294117,816
2024-02-14,,74.10057908313236,78.53121844293273,3969
2024-02-15,,76.88458630571306,81.86466165172855,3124
2024-02-16,,76.61085627328954,81.85121054439293,5823
2024-02-17,,75.7384469976815,80.90783299697276,3964
2024-02-18,,77.65507023780762,82.70791978738826,4139
2024-02-19,,77.0454753236246,82.94383533980582,5150
2024-02-20,,77.22918185129566,83.16508594730239,4782
2024-02-21,,78.99973908133828,85.0082116305964,6053
2024-02-22,,80.82656872435601,86.96116488522867,5707
2024-02-23,,81.66509861666708,88.50713451297028,5821
2024-02-24,,81.02679455009569,89.19110729613735,2097
2024-04-03,,86.92350136772176,92.09961313012896,853
2024-04-04,,80.94405857543414,88.22718357248887,2021
2024-04-05,,80.90485886644413,88.09406620861961,4803
2024-04-06,,79.62947883226325,87.51872366573033,5696
2024-04-07,,77.84041835564837,86.10991186586415,4652
2024-04-08,,77.47571259723985,85.14755097402598,6160
2024-04-09,,76.11821711433878,83.52679247910864,7180
2024-04-10,,78.06800845582755,85.1443661971831,6816
2024-04-11,,81.47605732369816,88.02985605306799,6030
2024-04-12,,82.04553610948015,88.33816629781853,6326
2024-04-13,,80.78866330743915,87.77686435113185,5787
2024-04-14,,79.79035075215478,86.92713031331071,5011
2024-04-15,,77.13548360631945,84.46898151825263,6547
2024-04-16,,76.2717181932986,83.98711539810593,5702
2024-04-17,,78.33919586874465,85.81846084841114,6577
2024-04-18,,82.70141109628082,90.11873692191054,5276
2024-04-21,,78.38622350674375,86.31393063583815,346
2024-04-22,,77.24179999837095,84.94161319750646,6577
2024-04-23,,77.18287071050737,84.26875152287859,7059
2024-04-24,,78.02109609000144,85.268422171166,5223
2024-04-25,,76.78005217270515,84.46160731406655,7301
2024-04-26,,76.27899995954995,83.63596981181391,7652
2024-04-27,,77.27214021902924,84.17973466156485,7579
2024-04-28,,77.04960263722882,84.5621558803062,2874
2024-04-29,,74.53027282529652,81.29734070563454,1899
2024-04-30,,77.55193524742414,84.41696344236487,5717
2024-05-01,,75.72249767693273,82.95610394663701,7196
2024-05-02,,76.0967056609168,83.12173949299533,5996
2024-05-03,,76.8876285366799,83.85562307044626,7126
2024-05-04,,75.85279612383067,82.79968407761828,7524
2024-05-05,,81.2957463740213,87.6568368235538,4823
2024-05-06,,77.38336058626196,84.59594282697239,6629
2024-05-07,,75.01187002519792,82.15085160619067,7689
2024-05-08,,77.76872522381301,84.47311082662765,5468
2024-05-09,,77.36102984911913,84.57504945054944,3640
2024-05-10,,80.66929364048917,87.37134043105686,3851
2024-05-11,,78.6421444452258,85.56275018459267,4063
2024-05-12,,78.64104107375175,85.87279993212286,5893
2024-05-13,,76.69283785348107,83.7069024309575,6047
2024-05-14,,74.43169028175379,81.78428815516047,4331
2024-05-15,,83.67464021164021,89.72722222222222,90
2024-05-19,,75.33186187611096,82.71636459909229,3305
2024-05-20,,75.01055099823039,82.53248169206276,4397
2024-05-21,,73.44888591414956,81.00453308653401,4322
2024-05-22,,75.38387820825301,82.87329696969697,1155
2024-05-23,,75.96809684741184,83.22565424024417,4587
2024-05-24,,72.80848835990669,80.26478918791312,4236
2024-05-31,,73.91812147894073,80.97138803894298,3595
