date,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean,snd_lvl_mean,dba_mean,dba_p90,n_events,sensor_missing,sensor_present,flag_capture_failure_candidate
2023-11-08,900,-20.98724207348294,-25.84837474822998,-14.793934154510495,0.0231972494345435,0.0065893160151108,5.200687407407407,42359.107777777775,,79.75744899880941,85.30232356134637,921.0,False,True,False
2023-11-09,2388,-20.004383613116776,-24.90611381530762,-13.645923233032224,0.0241760314329512,0.0090181115825504,5.243676158570631,42703.391959799,,81.67989793114278,87.70434047815334,2426.0,False,True,False
2023-11-10,2785,-31.016593245843584,-35.4565315246582,-25.84856719970703,0.0238998221023899,0.0062768425294007,5.242224296828247,42690.77486535009,,81.19686538785125,87.8503780918728,2830.0,False,True,False
2023-11-13,2,-32.99698638916016,-34.07794952392578,-31.91602325439453,0.0225635078444208,0.0029241378549847,5.247999999999999,42738.5,,80.12214285714286,87.01,2.0,False,True,True
2023-12-14,14,-20.167963368552076,-23.30125331878662,-16.713550758361816,0.0284062005678128,0.0078534494294458,5.2297142857142855,42588.357142857145,,82.75074829931972,89.89142857142858,14.0,False,True,False
2023-12-15,2574,-20.212529936036866,-24.354163360595702,-14.922922229766842,0.0256509517232815,0.0070773347697176,5.190348614348614,42279.72688422688,,80.1992204768727,86.47558703438396,2792.0,False,True,False
2023-12-16,4734,-20.90037734658596,-24.968476867675783,-15.839079380035402,0.025815577068933,0.0068408702238225,5.21023630474581,42438.7872834812,,78.82560244436758,85.95634786117836,4956.0,False,True,False
2023-12-17,2642,-21.68155208922624,-25.369119834899895,-17.125870513916016,0.0329451048969147,0.0107948206362036,5.226359828412819,42567.061695685086,,81.80428068715655,88.78788860575172,2747.0,False,True,False
2023-12-18,2940,-19.854613314680503,-23.561184310913085,-15.32263231277466,0.0585750382012231,0.033392021293593,5.223009523809524,42538.53197278912,,83.89498409595184,89.47467579015967,3069.0,False,True,False
2023-12-19,2067,-20.071601079175828,-24.589772033691407,-14.034135818481444,0.0262182498913157,0.0079055000556318,5.213466215126592,42460.92791485245,,83.304137313954,89.99646654445463,2182.0,False,True,False
2023-12-20,184,-21.1040587036506,-29.46224346160889,-14.48134546279907,0.029629089879789,0.0111747500072814,5.246608695652173,42733.114130434784,,82.09827411167512,88.73685279187818,197.0,False,True,False
2023-12-21,216,-21.693532325603343,-30.902348518371586,-14.60707664489746,0.0287683368385337,0.0099766485052765,5.24641975308642,42728.48611111111,,81.47240944240944,88.09008547008548,234.0,False,True,False
2024-01-12,5582,-20.537882478294385,-24.6660249710083,-15.781001377105714,0.0283921870358883,0.0085546796723323,5.137870775110474,41864.90863489789,,81.11298077112728,88.09594131614654,5896.0,False,True,False
2024-01-13,3375,-18.466441409216987,-23.08372917175293,-13.089157295227052,0.0281759690303335,0.0096522686959993,5.13777461728395,41866.33422222222,,82.54694664753858,88.9943713224793,3501.0,False,True,False
2024-01-14,3551,-18.625771527624707,-23.35873031616211,-12.810243606567385,0.0348621064514213,0.015027926570559,5.1660189617948,42088.287243030136,,83.3893804486807,90.12029617575264,3687.0,False,True,False
2024-01-15,4529,-20.356819529227007,-24.37993392944336,-15.470018768310547,0.0296412874380233,0.0091228011576779,5.14445631853978,41917.442481784055,,82.44176273182957,90.12689621052633,4750.0,False,True,False
2024-01-16,2000,-23.419841786384584,-28.87232131958008,-15.47424001693725,0.0402806311687661,0.0235417689701097,5.172352,42137.1475,,78.24045682772841,83.45364654756156,2071.0,False,True,False
2024-01-17,4905,-21.883697488281214,-26.289004898071287,-16.41521835327148,0.0269074527732789,0.0079646494320017,5.136927488956847,41858.38899082569,,80.37645456953723,86.57760508441685,5153.0,False,True,False
2024-01-18,5304,-21.713498207328907,-26.14108943939209,-16.35954532623291,0.0297882837741827,0.0095759287855604,5.131084967320261,41813.74076168929,,81.43035777892383,87.82785649819495,5540.0,False,True,False
2024-01-19,3474,-22.915050346685263,-27.974957275390626,-16.720497131347656,0.0288033327240266,0.0108019386995032,5.155887161773172,42005.87996545769,,79.63828354130005,85.58779031354983,3572.0,False,True,False
2024-01-20,3500,-22.966782850401746,-26.904905319213867,-17.986799240112305,0.0307581180480739,0.0100741134701036,5.154962285714285,41999.97342857143,,79.23483842150236,85.31219847743338,3678.0,False,True,False
2024-01-21,1024,-23.134052775800228,-26.729770660400387,-18.234210395812983,0.034597670981082,0.0120457157170149,5.1771666666666665,42174.4619140625,,79.40610257089848,85.38334879406308,1078.0,False,True,False
2024-01-22,5082,-22.080672574202783,-26.447629356384272,-16.584864616394043,0.026457820828669,0.0083082976795577,5.132996458087367,41826.63223140496,,79.97644225482681,86.03472206519692,5307.0,False,True,False
2024-01-23,4942,-21.476675330555327,-25.628746795654298,-15.966436767578124,0.0419439084989332,0.0319933767664933,5.1277355996222855,41786.23229461756,,81.83514968232389,88.15949504758206,5149.0,False,True,False
2024-01-24,4360,-21.735139873049675,-26.30946750640869,-15.788205051422125,0.0321692019561768,0.0106015166879558,5.130960244648319,41810.6002293578,,81.72728962476079,87.6895911991199,4545.0,False,True,False
2024-01-25,2909,-19.67457372866041,-23.754230499267575,-14.129673957824703,0.0305736393671518,0.0097564795153604,5.1256321760055,41768.52939154349,,82.70211822660097,89.7097560182173,3074.0,False,True,False
2024-01-26,3229,-19.48488140637825,-23.49390220642089,-14.609429550170898,0.0320676052951822,0.01032681068814,5.140005368018995,41883.77330442861,,85.03602595404101,91.70445118654251,3329.0,False,True,False
