date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean
2023-10-14,22,817.7191610214995,520.5688137222636,109.33943430677824,58.06545985441132,1125924.4090909092
2023-10-21,17,830.2263144440641,561.173717732104,105.52391916938625,68.79204551020052,1433357.5294117648
2023-10-22,795,411.7873329284601,320.62015417642215,108.86583189365116,53.74840724804536,789248.0716981132
2023-10-23,3114,489.12054497049655,321.57637202493424,101.9696141685236,58.53364805504205,842927.0690430314
2023-10-25,2000,2554.9182368632696,1833.749579216176,116.4569457627021,66.82767292422265,1992921.0205
2023-10-26,5710,1828.2080728337596,649.7199291129209,109.15452189262034,62.87049038969735,1459731.8570928196
2023-10-28,3880,889.7180259972131,573.0700511609411,107.89394282809153,67.18745060996024,1449846.06314433
2023-10-29,188,945.9937267433936,438.72814835127673,114.55640892415904,52.78199872509574,1304668.2765957448
2023-10-30,429,564.6354562173708,403.6690714727106,112.50703186062285,48.87727489186999,834164.2191142191
2023-11-08,2916,644.3417369299297,321.2848292205274,107.7366723521134,52.39963389617154,833559.6793552812
2023-12-14,16,80.17963225821346,71.76709097034166,67.69355499728063,46.11285178564447,405597.0625
2023-12-15,2398,2725.188569605604,1695.626364787797,107.45302218895912,76.1243318078642,1972908.68265221
2023-12-16,2282,3464.7768224572696,2184.392753666128,110.1752496022504,75.57805956519823,2183970.78659071
2023-12-17,1353,429.8380795741717,215.100225406798,115.02298964561396,41.93495581755951,754024.9822616408
2023-12-18,1343,852.5976287961981,331.28979793035853,119.71237634487596,59.012288211054894,1216826.533134773
2023-12-19,2091,1891.780433548265,540.2789279070092,108.9161437496803,66.77877483627202,1539121.074605452
2023-12-20,167,2568.808254457717,1531.9942840481187,106.51441760374048,78.33720291827979,1900336.9341317369
2023-12-21,12,485.9899836778024,339.9736506206767,113.03292077809748,49.666995530081245,831677.4166666666
2024-01-13,2218,726.8278385208429,187.1546786582968,109.45528444480227,48.294003982548745,865058.5798016231
2024-01-17,2593,462.5116025150445,172.39917896855917,102.84895652491008,55.10278876321461,786120.7003470883
2024-01-18,2790,273.71752406182435,197.0607264657812,109.00690262877096,51.40893956100015,703477.5752688173
2024-01-19,3486,476.4608986312935,166.64183505675675,108.67379350111358,58.75101196072455,815890.31124498
2024-01-20,3534,494.61317749643456,183.49612537935985,110.5158171315357,54.20194621260074,855037.1228070175
2024-01-21,1033,672.4694650751821,148.32716546668658,103.57240968007208,61.38452559115103,1034918.454017425
2024-01-22,2699,399.2876645625868,202.1972236823527,103.81035306052011,53.86221170183459,759320.8291959985
2024-01-23,2365,1770.4270601961211,1141.698880456041,111.99017164131628,67.00257989331544,1639048.0308668076
2024-01-25,1821,680.6834869046229,253.53814487851025,113.07057527592268,47.40252130248605,855391.6639209226
2024-01-26,778,687.9546073909556,226.9861222952969,119.70677004603132,57.09141277595301,1257526.469151671
2024-01-28,482,378.2905924473103,132.3425221759189,117.91421119655448,38.94066987744395,845118.989626556
2024-01-29,1677,973.8782788370004,541.0050775303158,111.03246602235645,57.12502547733425,1204507.6344663089
2024-01-30,4922,715.8623011372412,236.80251351092755,105.54917494953698,58.79793381618827,1015541.6865095488
2024-01-31,2804,253.8849882923311,179.13030049597756,101.56664116241812,58.073900872422485,660953.7514265336
2024-02-01,2565,1329.3931478871486,866.3679076979765,109.97375512419484,64.54957769376608,1416383.8198830409
2024-02-05,1929,2313.1432508574203,1514.0700142469052,106.35117503527742,75.6900945767481,1875090.6739243127
2024-02-09,3089,812.5858863136176,440.0938695625008,111.5524911696825,47.36527207987588,936883.3305276788
2024-02-12,2680,2458.035339738094,1768.5345208867736,112.06397125779604,72.56792320875107,1903248.542164179
2024-02-13,802,197.59560261556683,114.2580791079194,106.8823176970086,52.59357814295446,568940.4039900249
2024-02-15,3014,988.3318227319008,203.5201381253828,105.690383063955,62.44688152355169,1109792.190444592
2024-02-16,5579,905.1381880666736,227.0227217438018,104.60190726185408,62.45742153989264,1123558.6535221366
2024-02-17,3826,659.4379119725883,174.6227242008075,106.17918925155249,60.10537668291297,927612.9443282802
2024-02-19,2378,1503.896488493667,933.0228780252208,103.34249282318572,72.80538889739356,1615472.689234651
2024-02-20,2201,1667.428635963361,1036.3104347283622,102.28043169691536,71.79028238999729,1699099.129486597
2024-02-21,2790,1786.5126277064228,1212.7424076892207,104.78914344336052,72.56127673007613,1713027.3655913975
2024-02-22,5551,1064.7285786990155,275.9023154458882,107.32286286234168,60.275434996416806,1217684.3711043056
2024-04-01,1,1066.92206392999,1066.92206392999,130.12656305568257,67.50697357462782,1195181.0
2024-04-03,806,409.55109542882633,222.3329455195384,122.03104402934188,55.78327883941914,1002802.9677419356
2024-04-04,938,1790.8769600977869,1008.1211452279248,107.38345512645247,75.04293514018089,1607272.408315565
2024-04-05,4798,1472.450370825724,683.2142952594638,113.95784503487646,62.30737047961309,1383640.8303459776
2024-04-08,3167,1307.4452973081216,785.7670246902501,109.5710935749267,56.2850953721159,1071960.0350489423
2024-04-11,3152,409.67145417035545,215.7296709332245,116.3413986442247,42.41546550657437,711061.0193527918
2024-04-14,4995,1058.9408098186404,515.1786769121741,112.7808240627852,62.5156797054216,1245250.8394394394
2024-04-16,5646,1445.8107726653989,899.1772986025352,108.38163561967534,65.16165533869984,1333063.4645766914
2024-04-17,3089,1850.7003218946115,1082.1335464128458,111.46867685519484,74.60346491562484,1620889.7701521527
2024-04-18,5105,757.9966937105885,274.8012369407228,117.0401706427913,56.0142461089278,1053818.5907933398
