date,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean
2023-11-08,900,-20.98724207348294,-25.84837474822998,-14.793934154510497,0.02319724943454356,0.006589316015110895,5.200687407407407,42359.107777777775
2023-11-09,2388,-20.004383613116776,-24.90611381530762,-13.645923233032224,0.024176031432951297,0.009018111582550429,5.243676158570631,42703.391959798995
2023-11-10,2785,-31.016593245843584,-35.4565315246582,-25.84856719970703,0.023899822102389907,0.006276842529400783,5.242224296828247,42690.77486535009
2023-11-13,2,-32.996986389160156,-34.07794952392578,-31.91602325439453,0.0225635078444208,0.0029241378549847473,5.247999999999999,42738.5
2023-12-14,14,-20.167963368552073,-23.30125331878662,-16.713550758361816,0.028406200567812828,0.007853449429445866,5.2297142857142855,42588.357142857145
2023-12-15,2574,-20.212529936036862,-24.354163360595702,-14.922922229766842,0.02565095172328157,0.007077334769717654,5.190348614348614,42279.72688422688
2023-12-16,4734,-20.900377346585962,-24.968476867675786,-15.839079380035402,0.02581557706893307,0.006840870223822598,5.21023630474581,42438.7872834812
2023-12-17,2642,-21.681552089226237,-25.369119834899898,-17.125870513916016,0.032945104896914754,0.010794820636203607,5.226359828412819,42567.061695685086
2023-12-18,2940,-19.854613314680503,-23.561184310913085,-15.32263231277466,0.05857503820122315,0.03339202129359303,5.223009523809524,42538.53197278912
2023-12-19,2067,-20.071601079175828,-24.589772033691407,-14.034135818481444,0.02621824989131572,0.007905500055631887,5.213466215126592,42460.927914852444
2023-12-20,184,-21.104058703650598,-29.46224346160889,-14.48134546279907,0.02962908987978901,0.011174750007281442,5.246608695652173,42733.114130434784
2023-12-21,216,-21.693532325603343,-30.902348518371582,-14.607076644897461,0.02876833683853373,0.009976648505276561,5.24641975308642,42728.48611111111
2024-01-12,5582,-20.537882478294385,-24.6660249710083,-15.781001377105714,0.028392187035888375,0.008554679672332388,5.137870775110474,41864.90863489789
2024-01-13,3375,-18.466441409216987,-23.08372917175293,-13.089157295227052,0.02817596903033358,0.009652268695999321,5.13777461728395,41866.33422222222
2024-01-14,3551,-18.625771527624707,-23.35873031616211,-12.810243606567385,0.034862106451421356,0.015027926570559097,5.1660189617948,42088.287243030136
2024-01-15,4529,-20.356819529227007,-24.37993392944336,-15.470018768310547,0.029641287438023398,0.009122801157677931,5.14445631853978,41917.442481784055
2024-01-16,2000,-23.419841786384584,-28.872321319580077,-15.47424001693725,0.04028063116876614,0.02354176897010977,5.172352,42137.1475
2024-01-17,4905,-21.883697488281218,-26.289004898071287,-16.41521835327148,0.02690745277327891,0.007964649432001735,5.136927488956847,41858.38899082569
2024-01-18,5304,-21.713498207328907,-26.14108943939209,-16.35954532623291,0.029788283774182703,0.009575928785560434,5.131084967320261,41813.74076168929
2024-01-19,3474,-22.915050346685266,-27.974957275390622,-16.720497131347656,0.02880333272402662,0.010801938699503263,5.155887161773172,42005.87996545769
2024-01-20,3500,-22.966782850401742,-26.904905319213867,-17.986799240112305,0.030758118048073966,0.010074113470103637,5.154962285714285,41999.97342857143
2024-01-21,1024,-23.134052775800228,-26.729770660400387,-18.234210395812983,0.034597670981082,0.012045715717014962,5.1771666666666665,42174.4619140625
2024-01-22,5082,-22.080672574202783,-26.447629356384272,-16.584864616394043,0.02645782082866903,0.008308297679557706,5.132996458087367,41826.63223140496
2024-01-23,4942,-21.476675330555327,-25.628746795654298,-15.966436767578125,0.0419439084989332,0.03199337676649337,5.1277355996222855,41786.23229461756
2024-01-24,4360,-21.735139873049675,-26.30946750640869,-15.788205051422123,0.03216920195617681,0.010601516687955876,5.1309602446483185,41810.6002293578
2024-01-25,2909,-19.67457372866041,-23.754230499267578,-14.129673957824705,0.030573639367151868,0.009756479515360452,5.1256321760055,41768.52939154349
2024-01-26,3229,-19.48488140637825,-23.493902206420895,-14.609429550170898,0.03206760529518222,0.010326810688140016,5.140005368018995,41883.773304428614
2024-01-27,4700,-20.35240299346599,-24.249296188354492,-15.53062705993652,0.028476858557238294,0.007024564576940781,5.1321826950354605,41820.43468085107
2024-01-28,1755,-22.926233023727722,-27.263857650756837,-17.652894210815425,0.05493727265167347,0.03890413209985618,5.184036467236467,42229.203988603986
2024-01-29,4176,-22.748684589661856,-26.925405502319336,-17.372836112976074,0.026635248964442172,0.0074742888677079965,5.153287356321839,41986.46767241379
2024-01-30,4893,-22.350438195553483,-26.866400909423827,-16.461152648925783,0.026207253713117478,0.008687039942021016,5.1445204714217585,41918.54690374004
2024-01-31,5308,-22.18283970848276,-26.738170433044434,-16.183746337890625,0.026938566011475873,0.00844263453733134,5.132732479276563,41824.077430293895
2024-02-01,5306,-21.90997981243299,-26.3125,-16.2742977142334,0.02609396958746127,0.00763032407087348,5.1338148008543785,41834.13663776856
2024-02-02,5352,-21.719596054611007,-25.85740566253662,-16.476041793823242,0.029711066811934323,0.007958247019674099,5.128211260587942,41788.61846038864
2024-02-03,4812,-22.099174302117785,-25.86708354949951,-17.066561317443846,0.02820741340071027,0.008170615718851361,5.1455893599335,41926.91978387365
2024-02-04,3861,-21.640101777614937,-25.398277282714844,-16.763351440429688,0.027569414019381528,0.007786178916319444,5.145062937062937,41923.12224812225
2024-02-05,4502,-20.9479359357106,-24.861950302124022,-16.267609214782716,0.026868827682838447,0.007044241999240433,5.142916037316748,41906.03820524211
2024-02-06,5471,-20.282636860436266,-24.43589401245117,-15.152936935424805,0.026221726390787504,0.00705022525072435,5.128453786632548,41791.86876256626
