date,n_images,blur_mean,brightness_mean,contrast_mean,file_size_mean
2021-11-14,1,10602.953125,117.01846313476562,71.55786895751953,85466.0
2023-10-14,22,5160.7219127308235,111.76956003362483,57.295935890891336,95305.90909090909
2023-10-20,3,10487.797526041666,109.60933685302734,66.98942057291667,100122.0
2023-10-21,1557,2016.0945849703455,113.28707250694319,52.7813657835346,76369.47527296082
2023-10-22,1942,6022.289226685199,112.79259731398797,55.77488446260211,89066.00154479918
2023-10-23,3114,5457.79654649993,105.30907235118006,59.056258163011144,90469.98426461143
2023-10-24,3421,4548.202969245275,111.36210350654376,54.51180936829523,86141.3428821982
2023-10-25,5401,9359.336316797164,112.96099962426256,59.38446770074566,96600.49324199223
2023-10-26,5710,11627.377765202564,112.0933367373438,62.21669882859533,101085.36549912434
2023-10-27,7348,7301.8742886929,111.0321235620398,60.35827094468982,94954.49836690255
2023-10-28,7490,7813.780917998086,109.91138968779661,61.07779855817278,98424.02536715621
2023-10-29,390,6187.351502403846,113.16004312955417,51.00143121572641,86915.3641025641
2023-10-30,429,3981.9730719719732,115.18660019383286,49.61049853060351,83709.28438228439
2023-11-08,2916,4624.783662772473,111.12185053962739,52.96453413289597,86402.48971193416
2023-11-09,2391,4619.3327240539065,113.9320391356222,50.184061282551575,84160.76578837307
2023-11-10,2789,5103.037473966503,115.41913607198306,49.90334130496097,86100.1595553962
2023-11-13,2,5881.8203125,103.75453186035156,61.70518493652344,89396.0
2023-11-14,94,5870.4576312126,111.95289692980178,51.848850006752826,92613.23404255319
2023-12-14,17,2816.7959846047793,67.93031322254853,49.03232664220474,53153.05882352941
2023-12-15,4333,13048.582704200278,109.47377370538982,64.43718351746662,102500.18924532656
2023-12-16,4789,13563.081825343968,110.583938092821,63.363562725112544,103756.32344957194
2023-12-17,2664,5066.305736873959,120.3428775798809,48.642331759134926,77971.31156156157
2023-12-18,2965,4904.25258064463,117.13299170714406,51.32607096821623,77603.05969645869
2023-12-19,2091,13042.288756506914,110.48318974017413,65.43707596383443,103940.90913438547
2023-12-20,185,17218.525469805743,107.59830920245196,73.76462721953521,109697.14054054054
2023-12-21,218,17860.891494051033,108.49949761486928,73.95046515858502,111881.31651376147
2024-01-12,5633,11332.583083832855,108.64215914758255,61.893505309078,101020.48819456772
2024-01-13,3417,7799.949252438119,110.94141890648899,56.44012507716919,90896.07462686567
2024-01-14,3603,9317.585533936157,113.39092872422701,59.38886833190918,94553.87926727727
2024-01-15,4588,10544.94572396848,111.9903978607191,60.17019577325689,97890.92088055798
2024-01-16,2010,3323.722533238349,111.50785627602345,51.97173611085806,72048.25870646766
2024-01-17,4938,7200.559806950423,107.97105244558898,60.61269452360392,92729.58485216687
2024-01-18,5335,7277.10693913096,112.01220405099542,57.77842179560282,91269.27291471415
2024-01-19,3486,4488.730479903011,110.24465752413953,58.024403572629666,76783.83017785428
2024-01-20,3534,4602.655428339684,112.16705389190139,53.564651959348545,77547.42161856254
2024-01-21,1033,6120.504018098549,106.00089224402694,60.94580686704002,85335.20522749274
2024-01-22,5129,7243.664125260658,108.08869370170261,59.77197190654931,93137.55000974849
2024-01-23,4983,8141.846241454343,111.08131346376263,58.6422616597665,94310.72145294
2024-01-24,4398,2095.7513737351096,115.6461187842327,44.217295896470304,62793.97157798999
2024-01-25,2938,8013.551423178635,115.61338175909303,54.790081055331505,90121.52110279101
2024-01-26,3247,3566.507938310995,115.33847900240245,48.58497661629346,77686.15706806282
2024-01-27,4746,10545.577646646929,114.7713816787842,59.719954097215705,100173.86009270966
2024-01-28,1767,3041.6787485188524,112.57736780957846,50.53844379042931,70662.89530277306
2024-01-29,4210,4958.344928587418,107.33748371550136,56.92389277460456,78564.32375296913
2024-01-30,4922,5902.303453776372,107.43466231862688,57.7081751414597,85343.81105241772
2024-01-31,5354,5864.258204657149,107.04452586610414,59.118323292267334,83464.00784460217
2024-02-01,5356,6352.330027300355,107.12744006583546,60.09039100806512,85983.43278566095
2024-02-02,5397,8229.298456983299,110.69020063461409,58.65018766713138,93731.11376690754
2024-02-03,4852,9603.229745309804,107.97629252211279,60.8389818949436,103674.98083264632
2024-02-04,3944,10627.271351317122,106.9100090707775,61.55439121969815,104976.8154158215
2024-02-05,4535,10143.62158963541,107.4824611121265,61.13858593033325,101467.18831312018
2024-02-06,5518,10942.021523575542,108.26607823968149,61.85235863450905,103017.2093149692
2024-02-07,5663,11117.923679390204,110.20042545669558,61.02938551703212,103110.5774324563
2024-02-08,4356,11071.149206884855,109.56625925542238,61.99456311410671,101518.88246097337
2024-02-09,5908,9985.819629398002,113.62910259908006,57.74755080551736,99055.54180771834
2024-02-10,5184,10400.263588422611,114.29547166824341,58.90614401668678,98531.71141975309
2024-02-11,3898,10064.876028093207,115.50091466614991,58.065277302185656,99328.20548999487
2024-02-12,5656,9998.65002562268,114.37978939760524,58.225135898657534,98494.41955445544
2024-02-13,802,2395.1337203408716,107.37414559342915,52.07458267307044,66024.16957605985
2024-02-14,3851,5243.084864320956,104.38190831075671,57.72789714776581,87908.26954037913
2024-02-15,3014,7615.998352860804,106.99804003284558,61.41981428636173,89491.94392833444
2024-02-16,5579,7283.061860241286,105.94055746652508,61.38391922579634,91446.46352392902
2024-02-17,3826,5527.446708731046,107.73213534796356,59.05490431159937,79775.03711447987
2024-02-18,4025,6769.7506455017465,107.96064917902028,61.079634152998835,92751.59602484472
2024-02-19,4979,7670.9157776136335,104.12724984393682,62.36851347926918,96160.27595902792
2024-02-20,4621,8016.68735262275,102.89333611880255,61.690561745698716,97021.78511144774
