date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean_img,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean_aud,has_images,has_audio
2023-10-14,22,817.7191610214995,520.5688137222636,109.33943430677824,58.06545985441132,1125924.4090909092,0,,,,,,,,True,False
2023-10-21,17,830.2263144440641,561.173717732104,105.52391916938625,68.79204551020052,1433357.5294117648,0,,,,,,,,True,False
2023-10-22,795,411.7873329284601,320.62015417642215,108.86583189365116,53.74840724804536,789248.0716981132,0,,,,,,,,True,False
2023-10-23,3114,489.12054497049655,321.57637202493424,101.9696141685236,58.53364805504205,842927.0690430314,0,,,,,,,,True,False
2023-10-25,2000,2554.9182368632696,1833.749579216176,116.4569457627021,66.82767292422265,1992921.0205,0,,,,,,,,True,False
2023-10-26,5710,1828.2080728337596,649.7199291129209,109.15452189262034,62.87049038969735,1459731.8570928196,0,,,,,,,,True,False
2023-10-28,3880,889.7180259972131,573.0700511609411,107.89394282809153,67.18745060996024,1449846.06314433,0,,,,,,,,True,False
2023-10-29,188,945.9937267433936,438.72814835127673,114.55640892415904,52.78199872509574,1304668.2765957448,0,,,,,,,,True,False
2023-10-30,429,564.6354562173708,403.6690714727106,112.50703186062285,48.87727489186999,834164.2191142191,0,,,,,,,,True,False
2023-11-08,2916,644.3417369299297,321.2848292205274,107.7366723521134,52.39963389617154,833559.6793552812,900,-20.98724207348294,-25.84837474822998,-14.793934154510495,0.0231972494345435,0.0065893160151108,5.200687407407407,42359.107777777775,True,True
2023-11-09,0,,,,,,2388,-20.004383613116776,-24.90611381530762,-13.645923233032224,0.0241760314329512,0.0090181115825504,5.243676158570631,42703.391959799,False,True
2023-11-10,0,,,,,,2785,-31.016593245843584,-35.4565315246582,-25.84856719970703,0.0238998221023899,0.0062768425294007,5.242224296828247,42690.77486535009,False,True
2023-11-13,0,,,,,,2,-32.99698638916016,-34.07794952392578,-31.91602325439453,0.0225635078444208,0.0029241378549847,5.247999999999999,42738.5,False,True
2023-12-14,16,80.17963225821346,71.76709097034166,67.69355499728063,46.11285178564447,405597.0625,14,-20.167963368552076,-23.30125331878662,-16.713550758361816,0.0284062005678128,0.0078534494294458,5.2297142857142855,42588.357142857145,True,True
2023-12-15,2398,2725.188569605604,1695.626364787797,107.45302218895912,76.1243318078642,1972908.68265221,2574,-20.212529936036866,-24.354163360595702,-14.922922229766842,0.0256509517232815,0.0070773347697176,5.190348614348614,42279.72688422688,True,True
2023-12-16,2282,3464.7768224572696,2184.392753666128,110.1752496022504,75.57805956519823,2183970.78659071,4734,-20.90037734658596,-24.968476867675783,-15.839079380035402,0.025815577068933,0.0068408702238225,5.21023630474581,42438.7872834812,True,True
2023-12-17,1353,429.8380795741717,215.100225406798,115.02298964561396,41.93495581755951,754024.9822616408,2642,-21.68155208922624,-25.369119834899895,-17.125870513916016,0.0329451048969147,0.0107948206362036,5.226359828412819,42567.061695685086,True,True
2023-12-18,1343,852.5976287961981,331.28979793035853,119.71237634487596,59.012288211054894,1216826.533134773,2940,-19.854613314680503,-23.561184310913085,-15.32263231277466,0.0585750382012231,0.033392021293593,5.223009523809524,42538.53197278912,True,True
